Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ALACN 2.075 05/30/28,CCDJ 1.992 05/28/31,35.5344,1.7656,40.8530,12.5857,-5.3186,22.9487,91.0714,34.3837,Midstream,Non Major Sub Debt,BBB-,A-,CAD,CAD,ALACN,CCDJ,FIXED,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ATDBCN 3.439 05/13/41,CCOCN 2.95 10/21/27,80.0149,1.7569,83.1214,39.2481,-3.1065,40.7668,93.0556,80.0512,Non Financial Maples,Other,BBB+,BBB-,USD,CAD,ATDBCN,CCOCN,FIXED,FIXED,10.1-25.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BCECN 3 03/17/31,CCDJ 1.992 05/28/31,60.3836,1.7445,63.7761,33.4255,-3.3925,26.9580,95.4365,58.5942,Cable/Telco,Non Major Sub Debt,BBB,A-,CAD,CAD,BCECN,CCDJ,FIXED,VARIABLE,5.1-7.1,5.1-7.1,3-5,3-5,0,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
BCIMCR 1.747 07/24/30,CCDJ 1.992 05/28/31,27.9540,1.7430,29.7891,2.8115,-1.8351,25.1425,94.6429,26.3618,Pension,Non Major Sub Debt,NR,A-,CAD,CAD,BCIMCR,CCDJ,FIXED,VARIABLE,4.1-5.1,5.1-7.1,3-5,3-5,0,66.0000,,,NBF,,5000000.0000,,66.0000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ALTALK 1.509 09/11/30,CNQCN 2 1/2 01/17/28,-28.8294,-1.7424,-8.4528,-31.0253,-20.3767,2.1958,3.7698,-30.7726,Utility,Oil & Gas,A-,BBB,CAD,CAD,ALTALK,CNQCN,FIXED,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,65.0000,60.0000,5.0000,CIBC,SCM,3000000.0000,3000000.0000,66.8300,
ATDBCN 3 5/8 05/13/51,BAC 1.734 07/22/27,80.9724,1.7352,85.9161,38.2761,-4.9437,42.6964,97.8175,78.1538,Non Financial Maples,Financial Maples,BBB+,A,USD,USD,ATDBCN,BAC,FIXED,VARIABLE,>25.1,1-2.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALACN 2.166 03/16/27,BNS 2.15 08/01/31,3.2207,1.7334,6.8627,-25.1686,-3.6420,28.3893,94.6429,-1.4312,Midstream,Bail In,BBB-,A,CAD,USD,ALACN,BNS,FIXED,FIXED,1-2.1,5.1-7.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,,,,,,,,,
ATDBCN 3.439 05/13/41,CCDJ 1.992 05/28/31,101.0650,1.7156,104.7750,47.3752,-3.7100,53.6898,87.5000,100.6861,Non Financial Maples,Non Major Sub Debt,BBB+,A-,USD,CAD,ATDBCN,CCDJ,FIXED,VARIABLE,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
BCECN 1.65 08/16/27,BCECN 4.05 03/17/51,-125.0378,1.7044,-114.6846,-160.3579,-10.3532,35.3201,92.2619,-120.9175,Cable/Telco,Cable/Telco,BBB,BBB,CAD,CAD,BCECN,BCECN,FIXED,FIXED,2.1-3.1,>25.1,3-5,3-5,0,30.0000,,,NBF,,5000000.0000,,38.7000,,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE
BAMREP 3.33 08/13/50,BCECN 1.65 08/16/27,125.9760,-1.7031,149.4655,122.8004,-23.4895,3.1756,4.5635,124.9874,Power Gen/Renewable,Cable/Telco,BBB+,BBB,CAD,CAD,BAMREP,BCECN,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,160.0000,,,NBF,,5000000.0000,,160.0000,,30.0000,,,NBF,,5000000.0000,,38.7000,
