Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
ENBGAS 2.88 11/22/27,47.0,42.0,3000000.0,3000000.0,-2.0,-3.0,-2.0,-2.0,-43.0,-43.0,0.0,0.0,0.0,0.0,43.0,36.0,7.0,SCM,SCM,3000000.0,3000000.0,90664ZAX8,42.0,
VW 4.42 08/20/29,120.0,115.0,5000000.0,3000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,113.0,106.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BG8,116.0,
ENBGAS 3.59 11/22/47,118.0,114.0,5000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,-45.0,-45.0,0.0,0.0,0.0,0.0,116.0,113.0,3.0,TD,TD,5000000.0,3000000.0,90664ZAY6,121.0,
VW 1 1/2 09/23/25,34.0,29.0,20000000.0,0.0,-2.0,-15.0,-2.0,-2.0,-55.0,-55.0,0.0,0.0,0.0,0.0,24.0,,,NBF,,10000000.0,,918423AY0,33.0,
VW 2.45 12/10/26,49.0,44.0,5000000.0,1000000.0,-2.0,-7.0,-2.0,-2.0,-71.0,-71.0,0.0,0.0,0.0,0.0,49.0,51.0,-2.0,CIBC,NBF,5000000.0,2000000.0,918423AZ7,49.0,
VW 2.45 12/10/26,58.0,51.0,5000000.0,2000000.0,-2.0,-13.0,-2.0,-2.0,-60.0,-60.0,0.0,0.0,0.0,0.0,49.0,51.0,-2.0,CIBC,NBF,5000000.0,2000000.0,918423AZ7,58.51,
VW 5.86 11/15/27,96.0,91.0,5000000.0,1000000.0,-2.0,-6.0,-2.0,-2.0,-43.0,-43.0,0.0,0.0,0.0,0.0,93.0,87.0,6.0,TD,NBF,3000000.0,2000000.0,918423BC7,94.0,
VW 5 3/4 09/21/26,69.0,64.0,5000000.0,10000000.0,-2.0,-7.0,-2.0,-2.0,-53.0,-53.0,0.0,0.0,0.0,0.0,69.0,64.0,5.0,CIBC,CIBC,5000000.0,10000000.0,918423BD5,69.0,
VW 5.73 09/20/28,109.0,104.0,5000000.0,1000000.0,-2.0,-6.0,-2.0,-2.0,-42.0,-42.0,0.0,0.0,0.0,0.0,102.0,95.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BE3,108.0,
VW 5.73 09/20/28,102.0,95.0,5000000.0,2000000.0,-2.0,-9.0,-2.0,-2.0,-46.0,-46.0,0.0,0.0,0.0,0.0,102.0,95.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BE3,101.78,
VW 4.21 08/19/27,91.0,86.0,5000000.0,5000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,87.0,80.0,7.0,NBF,NBF,5000000.0,2000000.0,918423BF0,92.0,
ENBGAS 3.59 11/22/47,116.0,113.0,5000000.0,3000000.0,-2.0,-5.0,-2.0,-2.0,-42.0,-42.0,0.0,0.0,0.0,0.0,116.0,113.0,3.0,TD,TD,5000000.0,3000000.0,90664ZAY6,119.0,
ENBGAS 4.2 06/02/44,118.0,114.0,5000000.0,2000000.0,-2.0,-5.0,-2.0,-2.0,-47.0,-47.0,0.0,0.0,0.0,0.0,115.0,112.0,3.0,TD,TD,2000000.0,2000000.0,90664ZAD2,125.0,
QBRCN 4 1/2 01/15/30,92.0,87.0,5000000.0,2000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,92.0,87.0,5.0,RBC,RBC,5000000.0,2000000.0,92660FAL8,109.2,
QBRCN 3 1/8 01/15/31,111.0,106.0,3000000.0,3000000.0,-2.0,-6.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,108.0,106.0,2.0,NBF,RBC,5000000.0,3000000.0,92660FAM6,104.1,
WFC 2.975 05/19/26,42.0,37.0,5000000.0,10000000.0,-2.0,0.0,-2.0,-2.0,-59.0,-59.0,0.0,0.0,0.0,0.0,38.0,34.0,4.0,CIBC,CIBC,10000000.0,10000000.0,949746RX1,40.86,AXE
WFC 2.975 05/19/26,43.0,38.0,10000000.0,5000000.0,-2.0,1.0,-2.0,-2.0,,,0.0,-5000000.0,0.0,-5000000.0,38.0,34.0,4.0,CIBC,CIBC,10000000.0,10000000.0,949746RX1,40.73,
WFC 2.493 02/18/27,54.0,50.0,10000000.0,0.0,-2.0,-4.0,-2.0,-2.0,-69.0,-69.0,0.0,0.0,0.0,0.0,54.0,50.0,4.0,CIBC,TD,10000000.0,5000000.0,949746SZ5,53.85,
WFC 5.083 04/26/28,68.0,64.0,10000000.0,5000000.0,-2.0,-4.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,68.0,64.0,4.0,CIBC,SCM,10000000.0,15000000.0,949746TJ0,67.98,
WNCN 4.193 09/05/29,87.0,83.0,2000000.0,1681000.0,-2.0,-5.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,87.0,82.0,5.0,NBF,NBF,5000000.0,5000000.0,9611488Z9,88.0,
WNCN 4.193 09/05/29,87.0,82.0,5000000.0,5000000.0,-2.0,-3.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,87.0,82.0,5.0,NBF,NBF,5000000.0,5000000.0,9611488Z9,87.74,AXE
WCPCN 4.382 11/01/29,113.0,106.0,2000000.0,0.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,110.0,105.0,5.0,NBF,NBF,5000000.0,5000000.0,96467AAA9,112.29,
WCPCN 4.382 11/01/29,112.0,107.0,2000000.0,0.0,-2.0,-3.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,110.0,105.0,5.0,NBF,NBF,5000000.0,5000000.0,96467AAA9,111.28,
WM 2.6 09/23/26,56.0,51.0,3000000.0,5000000.0,-2.0,-4.0,-2.0,-2.0,-22.0,-22.0,0.0,0.0,0.0,0.0,51.0,50.0,1.0,CIBC,BMO,3000000.0,2000000.0,94107TAA9,56.08,AXE
WCPCN 3.761 06/19/28,96.0,93.0,3000000.0,2000000.0,-2.0,,-2.0,-2.0,,,0.0,0.0,0.0,0.0,95.0,90.0,5.0,NBF,NBF,5000000.0,3000000.0,96467AAB7,93.13,
WCPCN 3.761 06/19/28,96.0,91.0,3000000.0,3000000.0,-2.0,,-2.0,-2.0,,,0.0,0.0,0.0,0.0,95.0,90.0,5.0,NBF,NBF,5000000.0,3000000.0,96467AAB7,92.87,
